x,y,x_velocity,y_velocity,angle,angular_velocity,left_contact,right_contact
-0.088882826,1.416131,-0.6527451,-0.14193568,-0.025794573,-0.15565561,0.0,0.0
0.1425519,-0.0064179087,0.0057561793,-0.00051838445,-0.04815347,-0.0017484525,1.0,1.0
-0.015841007,0.72786456,0.07205302,-0.5878418,-0.05780394,0.11272683,0.0,0.0
0.21247968,0.32236642,-0.16105512,-0.21345972,0.05796826,-0.088993624,0.0,0.0
-0.04281702,1.2216601,-0.22829786,-0.6939127,-0.05361984,-0.085492924,0.0,0.0
0.33294383,0.3881891,-0.4296662,-0.27432194,0.04024639,-0.14352635,0.0,0.0
0.30640277,0.40776294,-0.13904609,-0.4185398,0.18042335,-0.08376907,0.0,0.0
-0.09613724,0.4065661,0.5435975,-0.6522086,0.113547735,0.14761439,0.0,0.0
-0.13918343,1.2577952,-0.33264056,-0.69087577,-0.04461915,-0.07909569,0.0,0.0
0.19689293,1.0365462,0.4403603,-0.8001982,0.13888162,0.09110171,0.0,0.0
0.27611512,0.29013813,-0.09062244,-0.16307476,0.034481984,-0.06489858,0.0,0.0
0.3464225,0.52413124,-0.15439133,-0.086501755,0.13811137,-0.26549548,0.0,0.0
-0.14902583,0.5079158,0.05395057,-0.42332914,-0.056380242,0.04905539,0.0,0.0
0.4770585,-0.16362743,0.6807791,-0.09934057,-0.4140196,-0.0005142592,0.0,0.0
0.20653543,0.07232788,-0.21027596,-0.25347808,0.0126090115,0.29372293,1.0,0.0
0.38914585,0.6975849,0.04724317,-0.19358708,0.2678276,0.06428579,0.0,0.0
0.079745576,0.40198353,0.11832513,-0.48152983,0.038926456,0.061871476,0.0,0.0
0.16706133,0.16833308,-0.25729313,-0.19459656,-0.0010145807,-0.09619056,0.0,0.0
-0.09284735,-0.0010480189,0.008292929,1.5116493e-07,0.0002653075,2.6715119e-08,1.0,0.0
-0.10462713,-0.00036473514,-0.00705796,0.026012277,0.00041106666,0.08905567,1.0,1.0
0.1601427,-0.017216768,-0.05165699,0.036209907,0.15633589,-0.018997842,1.0,1.0
-0.10115223,-0.004578414,0.004137033,0.016081916,-0.029169796,0.055091273,1.0,1.0
0.023082733,1.4127135,0.12318281,-0.20879902,0.07624729,0.121431984,0.0,0.0
0.27794257,-0.034413267,0.106283486,-0.010589611,-0.24593039,-0.03165431,1.0,1.0
0.28770238,0.4338376,-0.09266563,-0.0621282,0.22023289,0.029429788,0.0,0.0
0.07084694,-0.010398772,-0.012253748,0.013222455,0.07193508,-0.04430782,0.0,1.0
-0.19412604,0.40949494,-0.034347557,-0.4741665,-0.083338276,0.06493853,0.0,0.0
-0.012388897,1.2560945,-0.0830303,-0.6648674,-0.033281293,-0.059598375,0.0,0.0
0.25891504,1.0143107,0.17183194,-0.26394778,0.2561016,0.0050972058,0.0,0.0
0.24575624,0.61224264,0.14623824,-0.63628536,0.2038515,0.04146441,0.0,0.0
-0.116054535,1.1139437,-0.44686636,-0.7507807,0.00689499,-0.09233539,0.0,0.0
0.24724798,-0.03292607,0.16688344,-0.01877689,-0.2274591,-0.05648948,1.0,1.0
0.20116968,0.29720423,-0.20262532,-0.26053113,0.022722568,-0.03063793,0.0,0.0
-0.040458582,0.0339419,-0.45160466,-0.306086,-0.106075436,-0.22560596,0.0,0.0
-0.25538436,-0.03552517,-0.17725411,-0.02096851,0.25520092,0.062394924,1.0,1.0
0.06535158,0.2975062,-0.12864475,-0.44382182,0.09011689,-0.07445342,0.0,0.0
-0.18271045,1.3633163,-0.65134865,-0.42636427,-0.16616638,-0.19961986,0.0,0.0
0.14095373,0.85857266,0.037700735,-0.77057916,0.1673621,0.15621349,0.0,0.0
0.1397067,0.00033027888,-2.9326185e-07,-9.194039e-09,0.014047886,1.16503806e-07,1.0,1.0
0.32753342,0.39561304,-0.26733354,-0.23087625,0.07145753,-0.1258051,0.0,0.0
0.004997635,1.4224792,0.073526956,0.049042758,0.016056811,0.15716971,0.0,0.0
-0.1484352,0.051108252,0.06094987,-0.19813393,0.022543006,-0.009678261,0.0,0.0
-0.06796284,-0.001053884,4.0323755e-08,-2.7399177e-10,0.0014741682,-9.768456e-08,1.0,1.0
-0.15152168,0.0077582095,0.15674163,-0.016245741,-0.07171103,0.06060777,1.0,1.0
0.29208374,0.7866311,0.038905054,-0.16833672,0.19607769,-0.21261606,0.0,0.0
-0.101624206,0.3371712,0.08762963,-0.3616662,-0.03306625,0.02751256,0.0,0.0
-0.33719215,-0.05474999,-0.09888033,0.033447966,0.25516728,-0.3513577,0.0,0.0
-0.120309636,0.0048933243,0.013985296,-0.03340896,0.028268581,0.0005555052,0.0,0.0
-0.17852096,0.07184351,0.2070156,-0.26454026,0.025147142,0.013756113,0.0,0.0
0.11865139,0.079786144,-0.10647465,-0.002794301,0.0012911484,-0.0557141,0.0,0.0
-0.23425087,0.8348421,-0.27648064,-0.47962782,-0.20776334,-0.0237416,0.0,0.0
0.11492443,0.32845867,0.18683615,-0.43657324,0.049450107,0.1040074,0.0,0.0
0.19985132,0.21745184,-0.31736237,-0.3783947,0.14855857,-0.17757519,0.0,0.0
-0.014095592,0.068967044,-0.20872684,-0.2193732,0.007510638,0.014618477,0.0,0.0
0.17520484,0.44191682,-0.082514234,-0.43425813,0.090966865,-0.111453794,0.0,0.0
0.17270097,0.048552644,-0.11193341,-0.14678158,-0.015025004,0.025652248,0.0,0.0
-0.11967735,1.1878158,-0.5931045,-0.76126534,-0.014684442,-0.15956528,0.0,0.0
0.20544548,0.7819293,0.31672734,-0.5061798,0.34379926,0.21844621,0.0,0.0
0.1380167,0.33225876,0.106568314,-0.3869178,0.036736246,-0.03176348,0.0,0.0
0.27192575,0.69618005,0.32185322,-0.54055494,0.12862098,0.10163416,0.0,0.0
0.10593577,-0.0130011225,0.004542936,0.019167392,-0.092013285,0.062273853,1.0,1.0
-0.10613413,0.6522656,-0.1672698,-0.5334917,-0.11664185,-0.018342901,0.0,0.0
0.33401614,0.9360339,0.0022922002,-0.058887787,0.22427824,-0.03462743,0.0,0.0
0.18461666,0.096367486,-0.108449474,-0.42942268,0.076377735,-0.23891795,0.0,0.0
0.0571476,-0.00081033946,-0.004333219,0.017250972,-0.00015097264,0.060156662,1.0,1.0
0.18266448,0.2284273,-0.18451026,-0.25024176,0.038913507,-0.01389381,0.0,0.0
0.2414444,-0.03470781,0.0014586514,-0.000230948,-0.24664137,-0.00049656,0.0,1.0
0.15535632,0.24970086,-0.20313878,-0.47245774,0.25245842,-0.24304387,0.0,0.0
-0.08166914,0.34012994,0.060340025,-0.41491187,-0.020407915,0.0450384,0.0,0.0
0.0338356,-0.016083267,-0.17295805,-0.05410602,-0.044719502,0.089156665,1.0,1.0
-0.11328097,0.8740424,-0.2014151,-0.53387463,-0.101251006,-0.060972385,0.0,0.0
-0.0631278,-0.0006876373,-0.03957367,-7.718451e-07,-0.0047637313,3.5214103e-07,0.0,0.0
-0.23039623,0.6985783,-0.05366122,-0.3759724,-0.10403412,0.009542591,0.0,0.0
0.11906119,1.1265852,0.4625256,-0.8252893,0.09239487,0.11317418,0.0,0.0
0.0661808,0.010636577,-0.2971665,-0.10767785,-0.1000598,-0.14061213,0.0,0.0
-0.19378385,0.822046,-0.046546273,-0.26039812,-0.2937454,-0.1484146,0.0,0.0
-0.017377758,0.00018125534,-0.022134412,2.2187066e-06,0.0019280191,-1.0476391e-06,0.0,0.0
-0.11383009,0.49995196,0.05459089,-0.41933954,-0.048278365,0.04185736,0.0,0.0
0.0077127456,0.20622347,0.6558498,-0.51289386,-0.23533073,0.2667142,0.0,0.0
0.031755827,-0.020211902,-0.28708658,-0.014362431,0.09812256,0.21411249,1.0,1.0
0.28966266,0.27142212,-0.5355021,-0.27077252,-0.00322104,-0.097990416,0.0,0.0
